date_id,order_date,year_month,month,month_name,quarter,year,day_of_week,is_weekend
1,2023-06-27,2023-06,6,June,2,2023,1,False
2,2024-12-27,2024-12,12,December,4,2024,4,False
3,2021-07-25,2021-07,7,July,3,2021,6,True
4,2024-05-11,2024-05,5,May,2,2024,5,True
5,2021-10-09,2021-10,10,October,4,2021,5,True
6,2022-11-18,2022-11,11,November,4,2022,4,False
7,2023-11-12,2023-11,11,November,4,2023,6,True
8,2020-03-23,2020-03,3,March,1,2020,0,False
9,2020-05-04,2020-05,5,May,2,2020,0,False
10,2023-11-09,2023-11,11,November,4,2023,3,False
11,2024-12-30,2024-12,12,December,4,2024,0,False
12,2025-02-11,2025-02,2,February,1,2025,1,False
13,2024-01-23,2024-01,1,January,1,2024,1,False
14,2020-11-28,2020-11,11,November,4,2020,5,True
15,2024-05-30,2024-05,5,May,2,2024,3,False
16,2022-01-23,2022-01,1,January,1,2022,6,True
17,2021-12-17,2021-12,12,December,4,2021,4,False
18,2023-02-03,2023-02,2,February,1,2023,4,False
19,2022-10-30,2022-10,10,October,4,2022,6,True
20,2022-01-15,2022-01,1,January,1,2022,5,True
21,2023-12-14,2023-12,12,December,4,2023,3,False
22,2023-07-03,2023-07,7,July,3,2023,0,False
23,2021-05-08,2021-05,5,May,2,2021,5,True
24,2022-10-07,2022-10,10,October,4,2022,4,False
25,2024-08-06,2024-08,8,August,3,2024,1,False
26,2022-01-05,2022-01,1,January,1,2022,2,False
27,2020-10-17,2020-10,10,October,4,2020,5,True
28,2023-08-21,2023-08,8,August,3,2023,0,False
29,2021-06-18,2021-06,6,June,2,2021,4,False
30,2023-05-27,2023-05,5,May,2,2023,5,True
31,2021-10-12,2021-10,10,October,4,2021,1,False
32,2022-09-19,2022-09,9,September,3,2022,0,False
33,2022-03-25,2022-03,3,March,1,2022,4,False
34,2022-02-26,2022-02,2,February,1,2022,5,True
35,2021-04-05,2021-04,4,April,2,2021,0,False
36,2020-11-16,2020-11,11,November,4,2020,0,False
37,2024-12-12,2024-12,12,December,4,2024,3,False
38,2023-04-06,2023-04,4,April,2,2023,3,False
39,2024-01-28,2024-01,1,January,1,2024,6,True
40,2022-01-16,2022-01,1,January,1,2022,6,True
41,2022-12-16,2022-12,12,December,4,2022,4,False
42,2023-07-13,2023-07,7,July,3,2023,3,False
43,2025-03-10,2025-03,3,March,1,2025,0,False
44,2024-09-24,2024-09,9,September,3,2024,1,False
45,2020-04-13,2020-04,4,April,2,2020,0,False
46,2022-06-27,2022-06,6,June,2,2022,0,False
47,2021-03-14,2021-03,3,March,1,2021,6,True
48,2022-02-23,2022-02,2,February,1,2022,2,False
49,2022-03-29,2022-03,3,March,1,2022,1,False
50,2022-11-20,2022-11,11,November,4,2022,6,True
51,2021-11-12,2021-11,11,November,4,2021,4,False
52,2021-08-17,2021-08,8,August,3,2021,1,False
53,2022-05-16,2022-05,5,May,2,2022,0,False
54,2023-07-16,2023-07,7,July,3,2023,6,True
55,2020-08-18,2020-08,8,August,3,2020,1,False
56,2022-04-19,2022-04,4,April,2,2022,1,False
57,2022-12-23,2022-12,12,December,4,2022,4,False
58,2024-12-07,2024-12,12,December,4,2024,5,True
59,2022-02-03,2022-02,2,February,1,2022,3,False
60,2021-12-12,2021-12,12,December,4,2021,6,True
61,2020-05-17,2020-05,5,May,2,2020,6,True
62,2022-12-05,2022-12,12,December,4,2022,0,False
63,2024-09-17,2024-09,9,September,3,2024,1,False
64,2023-05-08,2023-05,5,May,2,2023,0,False
65,2021-03-03,2021-03,3,March,1,2021,2,False
66,2021-03-18,2021-03,3,March,1,2021,3,False
67,2023-04-24,2023-04,4,April,2,2023,0,False
68,2022-04-15,2022-04,4,April,2,2022,4,False
69,2022-08-29,2022-08,8,August,3,2022,0,False
70,2024-09-04,2024-09,9,September,3,2024,2,False
