order_item_id,customer_id,location_id,product_id,payment_id,date_id,quantity,amount,profit
1,1,1,1,1,1,5,9726.0,1275.0
2,1,1,2,1,1,14,4975.0,1330.0
3,139,1,1,1,134,12,6962.0,3429.0
4,261,1,1,1,249,15,3953.0,1776.0
5,261,1,4,5,249,11,5564.0,175.0
6,283,1,1,1,265,20,3409.0,1605.0
7,283,1,9,4,265,5,7564.0,3463.0
8,2,2,1,1,2,5,9726.0,1275.0
9,2,2,2,1,2,14,4975.0,1330.0
10,29,10,2,1,2,5,9683.0,1014.0
11,29,10,5,3,2,6,3090.0,573.0
12,129,6,5,4,2,6,2759.0,1149.0
13,259,2,1,1,247,15,3953.0,1776.0
14,259,2,4,5,247,11,5564.0,175.0
15,3,3,1,1,3,5,9726.0,1275.0
16,3,3,2,1,3,14,4975.0,1330.0
17,331,10,4,4,3,3,4688.0,1841.0
18,246,3,1,1,214,9,1689.0,109.0
19,221,5,3,4,214,15,3522.0,898.0
20,246,3,10,4,214,12,8438.0,3427.0
21,246,3,9,5,214,14,3936.0,1626.0
22,376,3,1,1,347,17,4628.0,1491.0
23,376,3,6,3,347,9,6109.0,3040.0
24,702,3,1,1,585,2,2684.0,713.0
25,264,4,1,1,119,17,7856.0,3699.0
26,121,1,2,1,119,17,7759.0,3741.0
27,121,1,7,2,119,16,7521.0,3457.0
28,264,4,3,3,119,3,1165.0,51.0
29,597,6,1,1,510,3,4307.0,615.0
30,597,6,6,3,510,5,5694.0,1134.0
31,701,6,1,1,209,2,2684.0,713.0
32,216,3,7,1,209,12,1290.0,204.0
33,774,6,1,3,209,18,6499.0,2189.0
34,598,7,1,1,449,3,4307.0,615.0
35,598,7,6,3,449,5,5694.0,1134.0
36,508,2,6,5,449,2,5014.0,2332.0
37,212,8,1,1,205,11,8568.0,2419.0
38,212,8,3,3,205,6,3283.0,71.0
39,447,15,8,5,205,19,2663.0,64.0
40,269,8,1,1,254,20,2109.0,681.0
41,269,8,7,5,254,18,6255.0,437.0
42,377,8,1,1,348,17,4628.0,1491.0
43,517,4,2,2,348,19,5916.0,1594.0
44,517,4,7,2,348,19,6402.0,2770.0
45,377,8,6,3,348,9,6109.0,3040.0
46,138,9,1,1,133,12,6962.0,3429.0
47,703,9,1,1,586,2,2684.0,713.0
48,236,12,1,1,226,5,2539.0,324.0
49,260,16,1,1,248,15,3953.0,1776.0
50,260,16,4,5,248,11,5564.0,175.0
51,284,16,1,1,266,20,3409.0,1605.0
52,284,16,9,4,266,5,7564.0,3463.0
53,297,13,1,1,277,7,9770.0,4132.0
54,297,13,8,4,277,10,7346.0,1043.0
55,333,14,10,4,277,2,6027.0,1530.0
56,297,13,4,4,277,13,7179.0,683.0
57,333,14,9,5,277,6,1091.0,277.0
58,333,14,12,5,277,17,6967.0,3257.0
59,628,15,1,1,531,3,7493.0,96.0
60,281,17,1,1,195,20,3409.0,1605.0
61,201,4,4,1,195,6,6113.0,2508.0
62,201,4,5,3,195,15,7733.0,2784.0
63,201,4,12,3,195,15,6187.0,2344.0
64,281,17,9,4,195,5,7564.0,3463.0
65,446,12,8,5,195,19,2663.0,64.0
66,201,4,5,5,195,14,8524.0,154.0
67,515,17,1,1,452,20,1031.0,318.0
68,515,17,10,3,452,19,8560.0,2166.0
69,117,18,1,1,115,18,6471.0,2842.0
70,500,10,3,2,115,17,5831.0,1574.0
71,282,18,1,1,264,20,3409.0,1605.0
72,282,18,9,4,264,5,7564.0,3463.0
73,258,1,2,1,246,19,7702.0,60.0
74,258,1,2,3,246,7,9884.0,4446.0
75,258,1,6,5,246,2,5035.0,2008.0
76,308,2,2,1,287,1,2239.0,828.0
77,308,2,11,2,287,4,2450.0,1002.0
78,146,3,2,1,141,12,7131.0,718.0
79,146,3,7,3,141,10,4200.0,855.0
80,146,3,11,5,141,1,2962.0,1470.0
