order_item_id,order_pk,product_id,quantity,amount,profit
1,1,1,5,9726.0,1275.0
2,4,1,12,6962.0,3429.0
3,6,1,15,3953.0,1776.0
4,7,1,20,3409.0,1605.0
5,15,1,5,9726.0,1275.0
6,20,1,15,3953.0,1776.0
7,30,1,5,9726.0,1275.0
8,39,1,9,1689.0,109.0
9,42,1,17,4628.0,1491.0
10,50,1,2,2684.0,713.0
11,59,1,17,7856.0,3699.0
12,96,1,3,4307.0,615.0
13,97,1,2,2684.0,713.0
14,109,1,3,4307.0,615.0
15,118,1,11,8568.0,2419.0
16,119,1,20,2109.0,681.0
17,122,1,17,4628.0,1491.0
18,134,1,12,6962.0,3429.0
19,138,1,2,2684.0,713.0
20,169,1,5,2539.0,324.0
21,178,1,15,3953.0,1776.0
22,179,1,20,3409.0,1605.0
23,184,1,7,9770.0,4132.0
24,212,1,3,7493.0,96.0
25,217,1,20,3409.0,1605.0
26,219,1,20,1031.0,318.0
27,223,1,18,6471.0,2842.0
28,225,1,20,3409.0,1605.0
29,236,1,20,2565.0,983.0
30,239,1,7,7344.0,2251.0
31,245,1,13,5266.0,1111.0
32,255,1,19,9851.0,2669.0
33,279,1,19,9851.0,2669.0
34,285,1,3,8706.0,1724.0
35,320,1,7,9073.0,424.0
36,324,1,1,6934.0,1226.0
37,342,1,19,7213.0,508.0
38,348,1,15,9952.0,3301.0
39,350,1,6,4074.0,1175.0
40,357,1,13,1564.0,674.0
41,367,1,3,1281.0,340.0
42,370,1,15,6355.0,1335.0
43,371,1,15,6355.0,1335.0
44,373,1,13,5266.0,1111.0
45,380,1,5,7699.0,246.0
46,399,1,10,6435.0,334.0
47,429,1,1,6934.0,1226.0
48,430,1,19,7213.0,508.0
49,440,1,19,9851.0,2669.0
50,449,1,18,8962.0,2444.0
51,468,1,18,8962.0,2444.0
52,509,1,4,9438.0,1801.0
53,510,1,14,4163.0,897.0
54,519,1,11,9335.0,557.0
55,530,1,15,5335.0,322.0
56,532,1,15,3560.0,1335.0
57,540,1,14,4163.0,897.0
58,542,1,15,3560.0,1335.0
59,548,1,4,7690.0,1134.0
60,552,1,8,9229.0,4090.0
61,580,1,4,9438.0,1801.0
62,582,1,13,2858.0,482.0
63,588,1,12,5122.0,2413.0
64,594,1,17,4382.0,482.0
65,624,1,15,6379.0,3128.0
66,641,1,14,4163.0,897.0
67,643,1,2,2483.0,236.0
68,652,1,19,1010.0,58.0
69,675,1,13,7144.0,192.0
70,679,1,6,5714.0,1438.0
71,682,1,14,4708.0,696.0
72,750,1,5,1591.0,727.0
73,760,1,11,851.0,356.0
74,764,1,6,8947.0,2807.0
75,771,1,20,1454.0,80.0
76,785,1,11,851.0,356.0
77,787,1,3,3436.0,933.0
78,814,1,10,2804.0,936.0
79,815,1,4,8780.0,3430.0
80,816,1,4,8780.0,3430.0
81,849,1,5,1591.0,727.0
82,851,1,12,8541.0,2029.0
83,869,1,14,6184.0,50.0
84,874,1,5,1591.0,727.0
85,880,1,17,5666.0,2733.0
86,882,1,10,2804.0,936.0
87,883,1,10,2804.0,936.0
88,884,1,14,6184.0,50.0
89,885,1,18,6392.0,444.0
90,887,1,7,2931.0,212.0
91,894,1,7,2931.0,212.0
92,901,1,15,8590.0,3565.0
93,934,1,18,6499.0,2189.0
94,949,1,18,6499.0,2189.0
95,951,1,16,1262.0,515.0
96,966,1,16,1262.0,515.0
97,980,1,19,7643.0,3720.0
98,993,1,20,8020.0,3898.0
99,1003,1,17,4206.0,1821.0
100,1010,1,9,3776.0,1100.0
101,1041,1,17,1366.0,242.0
102,1052,1,16,7748.0,1706.0
103,1087,1,10,9707.0,3483.0
104,1092,1,9,3776.0,1100.0
105,1,2,14,4975.0,1330.0
106,3,2,17,7759.0,3741.0
107,5,2,19,7702.0,60.0
108,15,2,14,4975.0,1330.0
109,21,2,1,2239.0,828.0
110,30,2,14,4975.0,1330.0
111,35,2,12,7131.0,718.0
112,52,2,5,5105.0,465.0
113,61,2,8,4609.0,1084.0
114,71,2,18,2504.0,440.0
